lab_id	inhibitor	plot_name	type	min_conc	max_conc	inhibitor1	inhibitor2	auc	rescaled_auc	zscore
10250	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.37142068180059	0.828378061950569	-0.949054700298528
10289	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.51887390928922	0.879886012333562	-0.106797717505895
10290	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.47905223201811	0.86597561503686	-0.334260258132144
10292	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.67390556412557	0.934041237831898	0.778747455453346
10308	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.46604691342934	0.861432633401298	-0.408547003708307
10320	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.71710187410325	0.949130452418471	1.02548599301692
10326	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.73934266482203	0.956899543433518	1.1525260151634
10336	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.83375804492579	0.989880460817308	1.69182932191226
10348	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.55704931496891	0.893221338627127	0.111261273485947
10356	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.81135267439014	0.982053879239418	1.56384921522273
10404	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.65670639891981	0.928033273386931	0.680505340041691
20003	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.26865464376949	0.792480116018047	-1.5360572000051
10004	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	1.5920870048594	0.556143387488012	-1.58654684261373
10021	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.05410727637973	0.717535018791565	-0.00358599955728362
10054	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.12863772581434	0.743569787301735	0.251768127399435
10058	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	1.50500161616686	0.525722962649195	-1.88491634888893
10139	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.0538804707929	0.717455791697204	-0.00436307447169759
10159	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	1.91753838534287	0.669829155069984	-0.471494488030364
10205	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.27507835094941	0.794724017616977	0.753498873236045
10250	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.22265933298668	0.776413152614241	0.573902310095134
10289	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.43325063433399	0.849976318037571	1.29542429618495
10290	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.05173834816953	0.716707511403139	-0.0117023546782895
10292	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.21938553618883	0.77526955905714	0.562685719701685
10308	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	1.49804528710778	0.523292997204097	-1.90874992760984
10320	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	1.97342731347508	0.689352119405256	-0.280009416384994
